p,I
1778,3.2
1779,3.6
1780,5.2
1781,8
1782,8
1783,6.4
1784,4.8
1785,4
1786,3.2
1787,3.2
1788,2.8
1789,2.8
1790,2.8
1791,2.8
1792,2.8
1793,2.8
1794,3.2
1795,3.6
1796,4
1797,5.6
1798,7.6
1799,6.8
1800,5.2
1801,4.4
1802,3.6
1803,3.2
1804,3.2
1805,2.8
1806,2.8
1807,2.8
1808,2.8
1809,2.8
1810,2.8
1811,3.2
1812,3.6
1813,4.4
1814,6.4
1815,6.4
1816,5.2
1817,4.4
1818,3.6
1819,3.2
1820,3.2
1821,2.8
1822,2.8
1823,2.8
1824,2.8
1825,2.8
1826,2.8
1827,2.8
1828,3.2
1829,4
1830,6
1831,5.6
1832,4.4
1833,3.6
1834,3.2
1835,2.8
1836,2.8
1837,2.8
1838,2.8
1839,2.8
1840,2.8
1841,2.8
1842,2.8
1843,2.8
1844,3.2
1845,4
1846,5.2
1847,4.8
1848,4
1849,3.2
1850,2.8
1851,2.8
1852,2.8
1853,2.8
1854,2.8
1855,2.8
1856,2.8
1857,2.8
1858,2.8
1859,2.8
1860,3.2
1861,4
1862,4.4
1863,3.6
1864,3.2
1865,2.8
1866,2.8
1867,2.8
1868,2.8
1869,2.8
1870,2.8
1871,2.8
1872,2.8
1873,2.8
1874,2.8
1875,3.2
1876,4
1877,4.4
1878,4
1879,3.2
1880,2.8
1881,2.4
1882,2.4
1883,2.4
1884,2.4
1885,2.4
1886,2.4
1887,2.4
1888,2.4
1889,2.4
1890,2.8
1891,3.6
1892,4
1893,3.6
1894,3.2
1895,2.8
1896,2.8
1897,2.4
1898,2.4
1899,2.4
1900,2.4
1901,2.4
1902,2.4
1903,2.4
1904,2.4
1905,2.8
1906,3.6
1907,3.6
1908,3.2
1909,2.8
1910,2.4
1911,2.4
1912,2.4
1913,2.4
1914,2.4
1915,2.4
1916,2.4
1917,2.4
1918,2.4
1919,2.4
1920,2.8
1921,3.2
1922,3.2
1923,2.8
1924,2.4
1925,2
